,Code,Year,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate),Prevalence - Substance use disorders - Sex: Both - Age: Age-standardized (Percent),Deaths - Cause: All causes - Risk: Air pollution - Sex: Both - Age: Age-standardized (Percent),Prevalence of undernourishment (% of population),Human rights protection,GDP per capita (constant 2010 US$)
0,AFG,2012,6.813385286034996,0.97368777430406,19.50155953398491,27.2,-1.33708460980701,576.190088453246
1,ALB,2012,5.062668912263671,2.18667332275098,10.98630651599224,3.5,1.03964220322529,4276.60790388367
2,DZA,2012,3.836444723955614,0.88318283881822,10.57561973127988,3.5,0.487922697068312,4588.13355679286
3,AGO,2012,13.323193792518827,1.42778182932132,11.281519754451107,35.4,-0.405432727707392,3748.45155037137
4,ARG,2012,10.828088571153431,2.93204812994952,4.2111643109456,3.2,0.896579047345279,10649.8372874572
5,ARM,2012,8.620360914862143,2.59151763740343,12.15162997998707,3.6,0.192295316369626,3603.5833540796
6,AUS,2012,10.739709494210535,4.22112254676807,1.16092089163955,2.5,2.2470338491115,53682.0321439532
7,AUT,2012,12.269534889433755,4.050788357369,4.0956842641276,2.5,2.2864888197376,48172.2381151452
8,AZE,2012,4.084753695599346,3.0430230314441298,11.26819696419506,2.5,-0.181520626899757,5725.63412853394
9,BGD,2012,5.162747528898822,1.45791205208239,21.32936738069952,13.8,-1.05388456307147,865.761935715465
10,BRB,2012,3.749305668087557,2.55182499866684,5.2929250154781,4.5,1.85027795308662,15787.915318402
11,BLR,2012,23.443464691657088,3.72595017401388,8.75178289000388,2.5,0.225500043408912,6478.70481089972
12,BEL,2012,16.650814753079732,3.5674047115335603,4.25433052144173,2.5,2.73591500181736,44361.2100930567
13,BLZ,2012,7.188527621645472,2.57965055639544,6.95824318007945,7.9,1.16756003351601,4253.08766044306
14,BEN,2012,11.910356572384948,0.86996559584309,15.53839224713546,8.1,0.975622828618603,1057.66716880358
15,BOL,2012,7.247490310336214,1.88600675869255,9.70540992201297,19.7,1.00974450110635,2094.02394900401
16,BIH,2012,8.51210882131618,2.44279114717373,13.93621156451874,2.5,1.37859773140464,4770.93162912533
17,BWA,2012,21.902835459849552,2.5728335694428903,9.25908929221583,23.3,1.83616709759672,6944.80914927972
18,BRA,2012,6.05163686635801,4.19831069782838,5.18580326925562,2.5,-1.08557372392024,11745.7761620453
19,BRN,2012,5.66453627718955,1.77861773284643,1.79289803589158,2.5,2.88835501020499,35966.6072430929
20,BGR,2012,10.680574564872472,2.56141922606508,9.54476962668217,4.1,1.37528437487215,7083.59878715875
21,BFA,2012,12.67789822827806,0.7881535596278599,14.16468918241802,18.5,0.516741858556956,692.444787200338
22,KHM,2012,5.430922550324513,1.17059509062441,17.81544101284064,13.6,-0.206891174309868,873.949283306053
23,CMR,2012,14.946020108871098,0.99502804988301,12.558246231568932,7.1,-0.114668776702482,1325.93016371596
24,CAN,2012,11.195424927728254,4.45911877206991,1.73402483974313,2.5,2.69393668897884,48903.2227998102
25,CPV,2012,16.684470917151167,1.0195640354400202,11.3948560875368,16.1,1.73265087015468,3461.88553912386
26,TCD,2012,14.396329837582542,0.75840242941167,16.08284564118583,38.6,-0.464661988483445,909.31248602036
27,CHL,2012,10.52737911378497,3.9368635212098,5.59133101035602,3.3,1.13849781189573,14035.669451247
28,CHN,2012,8.458367882155256,1.75538603174797,19.01596519852003,2.5,-1.21621555146636,5325.35841728771
29,COL,2012,5.73621226290078,3.00394712382923,7.375498254363371,9.6,-1.0127915845359,6911.76119085696
30,COG,2012,13.039054003302716,1.55404776312508,11.63938689248069,31.2,0.258582599872018,3272.75731940926
31,CRI,2012,7.061698946715198,2.52378761699269,4.73718699457381,3.8,1.49480027114635,8796.16797499092
32,CIV,2012,14.84183448719269,0.86519384600515,13.59299662069022,22.1,-1.12272354514068,1223.6319350233
33,HRV,2012,12.659281992628149,3.1574891583906,7.1805887521992,2.5,2.65802604456371,13677.4207155701
34,CUB,2012,11.148714533940366,2.36636071167867,6.21109354512346,2.5,-0.0694006513148751,6051.67983267901
35,CYP,2012,4.181403957453776,2.35789869875408,6.01967390421809,6.3,1.53944757887404,28873.621277345
36,CZE,2012,12.658319064578771,3.65954851873688,6.66074046413959,2.5,3.08733665283333,20082.2511927375
37,DNK,2012,9.12516339077827,4.18925314842557,3.5107912148341303,2.5,3.12201053604714,58487.7935424732
38,DMA,2012,4.865597989148146,3.18626912793671,5.05981405357911,5.1,2.44427842900374,6870.70563687791
39,DOM,2012,6.817260401383258,1.95876217628193,6.883355119498489,9.8,-0.399938737798679,5745.41985159703
40,ECU,2012,10.147939396501489,1.817038145379969,5.55639344462286,17.6,0.570247839388461,5122.18108325797
41,EGY,2012,3.678187051235324,0.70433119918899,16.122437017519438,5.2,-1.01399629154097,2635.99771845868
42,SLV,2012,7.596363410828795,4.0723009667166,7.252641585876731,10.6,0.408141388346168,3156.62337844465
43,EST,2012,14.722577674721956,3.617761843274861,2.23622938384944,2.5,2.66571919617881,16485.0450426469
44,SWZ,2012,28.27958342220201,2.98503202071765,8.24898971494022,8.1,0.0683263607271019,4431.83606516964
45,ETH,2012,11.822474016994494,2.89889236529493,15.056578190154,29.9,-1.80014117501542,389.938920464021
46,FJI,2012,10.01500597935768,1.29537680216391,9.449497080223871,3.5,1.22647481395932,3781.20202575104
47,FIN,2012,14.754230858590734,3.50590680912624,1.23810534980125,2.5,2.98636672269211,46538.5482393103
48,FRA,2012,14.405705321737308,3.46476798009598,3.22165813349162,2.5,1.90978869454945,41258.2715887455
49,GAB,2012,14.259090849494008,1.61237530184102,8.34978849595702,17.5,1.00411637846358,9258.90843149412
50,GMB,2012,8.806399015619355,0.8436761841532201,15.02389457161963,13.2,-0.0898583042375936,783.262992377178
51,GEO,2012,6.531322415678026,2.6732147153754,10.76408812127884,4.3,0.577975684199243,3751.00347121289
52,DEU,2012,9.606225663843151,3.22294247513472,4.06188403228195,2.5,3.01692197937606,44070.9085651782
53,GHA,2012,10.701052126805422,1.01934082726935,13.37501926022163,7.3,0.352221921614072,1543.76368731207
54,GRC,2012,3.598069279575393,2.4457953516465,6.54037335431091,2.5,1.06800140967842,22437.2204706296
55,GTM,2012,6.104574453565595,3.94651876954776,11.71174764023092,18.0,0.495934068366364,2951.61147194396
56,GUY,2012,37.70294663533405,2.65813375523468,7.92494915058099,6.0,1.04829100157906,5044.87384047201
57,HTI,2012,9.91970530395031,2.1688459785183403,15.99859409893287,49.4,0.358312563368012,1214.30482341773
58,HND,2012,3.488285115514686,2.86996328452814,11.84180838051288,20.8,-0.0807883835481605,1982.00950846405
59,HUN,2012,16.876732293153726,3.11217589091273,7.78441774331919,2.5,1.56827114655815,13367.9931241148
60,ISL,2012,9.663468050330431,3.20163591832937,1.2035999405432298,2.5,5.13785067427502,44132.3166633736
61,IND,2012,15.868429525802512,1.72250044098223,18.12467350549587,16.3,-1.23931686414814,1469.180566354
62,IDN,2012,3.216741310990632,0.92536391136871,12.05969924782874,9.3,-0.248388795923846,3421.28314594111
63,IRN,2012,5.468097620908263,1.07681828470349,11.10187805954941,4.8,-1.16018626631433,6122.43054988181
64,IRQ,2012,6.004676476143713,0.8017249339382699,15.691670653403488,21.8,-1.25136378501425,5322.38513963386
65,IRL,2012,10.3949248111505,4.86509466631673,2.45164682285958,2.5,2.67882912937061,48633.5376809672
66,ISR,2012,6.170123923966821,1.7493750675673998,6.19217020719139,2.5,-1.1419704877817,31701.8353645015
67,ITA,2012,5.299950152077344,2.77704585014886,5.13480225426586,2.5,1.28845518129437,35019.4718880864
68,JAM,2012,2.688917001909396,2.18134925917006,6.24879523515105,10.2,-0.33052249108708,4703.09302498548
69,JPN,2012,17.175000745584512,1.44136257868618,2.78954978991936,2.5,2.15338890224216,45276.8743353985
70,JOR,2012,2.533664865556643,0.83095686682057,10.91538170543191,8.6,-0.135146053252501,3529.52484057875
71,KAZ,2012,29.862615641640463,4.64488142390645,8.71731096831052,2.8,-0.143005405973065,9923.42161744024
72,KEN,2012,11.89694926456949,1.03782915761726,11.17871997054041,23.2,-0.750706973197184,1000.82788516793
73,KIR,2012,28.003134910634248,1.24944815715741,14.088277601921432,4.3,4.27733999138267,1561.56178362321
74,KWT,2012,2.834215288322306,0.8641362598798601,15.62958971144951,2.5,1.02346075748399,40287.3162490473
75,KGZ,2012,11.91884874642992,3.6952082805919098,14.04319095718837,8.2,-0.257980176384929,905.165668147783
76,LVA,2012,17.725111977992967,3.52024951301266,6.292631006464269,2.5,1.6902428042518,13023.7083467423
77,LBN,2012,3.426762397803641,1.11759932579567,10.79770150151998,15.0,-0.0084355348603602,7180.4315464703
78,LSO,2012,45.43131716157286,2.76015319816318,9.46736294376402,11.9,1.04459681728572,1233.72777167439
79,LBR,2012,10.061725919340336,0.88678589424546,14.12545423915132,33.3,0.876419412439842,564.520434719613
80,LTU,2012,31.54366976147696,2.9741875986511,4.93136896382583,2.5,1.87395276541494,13683.8585107703
81,LUX,2012,9.266587362923556,3.79615905209869,3.3382427786687296,2.5,5.33293962700989,102404.612086023
82,MDG,2012,10.425881331232045,1.65012243488958,17.18762227673756,30.7,-0.4304809079155,467.435789903935
83,MWI,2012,12.797777886804925,1.7999604917720802,12.35013804697997,17.0,0.465071514525527,482.923624373842
84,MYS,2012,5.354311150685393,1.10108660433119,6.70746726560403,2.9,0.459606184585119,9743.0947412817
85,MLI,2012,7.88307166210325,0.7116214004961701,13.79272143549503,8.0,-0.922458318680057,684.646961737271
86,MLT,2012,4.5556097263903785,2.83912214248488,5.45764068868852,2.5,2.66639300400414,22503.1320022588
87,MRT,2012,6.902071123962068,0.7906739466602299,14.551700189775191,7.1,0.490125119573602,1652.71372425405
88,MUS,2012,8.429890642268338,1.90516734519195,5.85635009062353,5.7,1.27045756196711,8580.08564924831
89,MEX,2012,5.436681587139951,1.95423044593156,7.34039077420598,4.3,-1.12136202692824,9690.86898189802
90,MNG,2012,19.22306579980604,4.66002278010786,13.723577410689131,18.0,0.96783525770826,3353.09479376388
91,MNE,2012,15.147368319594742,2.59335906484054,11.76370972129527,2.5,1.54893753877839,6703.65760332829
92,MAR,2012,8.430045920391239,0.89311125749485,11.87070458009847,4.9,0.0864099946210427,2995.45235738661
93,MOZ,2012,16.87801229869358,1.91726315895582,12.05755588217506,21.1,-0.0460080009142267,514.592024400883
94,MMR,2012,4.224536381092724,1.28340323795801,18.86816512288691,12.1,-1.81205866447144,1135.6474350688
95,NAM,2012,13.506332754382122,2.86523630404932,10.37656446439554,24.0,1.20059258092329,5750.66147101539
96,NPL,2012,13.200937880773312,1.55943972924672,23.73309094290688,7.1,-0.129228707200857,640.435685009658
97,NLD,2012,9.294960385238536,2.64455983298418,3.95731307616806,2.5,3.59472734909193,50780.7030036219
98,NZL,2012,11.499476206031112,4.50935073356274,1.01664579564948,2.5,3.58064781520482,34749.9094110988
99,NIC,2012,6.494547827967844,3.2028278639024297,11.2590420526136,17.9,0.286940580807327,1657.65041620035
100,NGA,2012,8.459607020918515,0.77119499413544,12.73969586326027,7.6,-1.91452276868463,2372.46136906097
101,MKD,2012,8.122747551298204,2.2612525244637203,14.34070344230969,3.7,1.0205357785031,4622.63053860108
102,NOR,2012,9.86177503549987,2.65177006844911,1.65471383745195,2.5,4.19473165443333,88604.5746477835
103,OMN,2012,3.3804750579462173,0.8128565328729499,14.20604653131596,7.3,1.05576150394366,18213.387540337
104,PAK,2012,9.000346289212336,1.9162515037547696,17.492465808464218,17.7,-1.52517092032833,1006.08054088811
105,PAN,2012,5.357943202743929,2.27515013537539,5.39318628114805,9.2,1.47739322188856,9541.0012297732
106,PRY,2012,5.603535169750178,3.26812157334178,8.67318626948967,7.9,0.663950171117627,4392.14041464789
107,PER,2012,3.369945787360922,1.83855678054309,8.59618976802879,5.9,0.224587141973579,5642.57773269561
108,PHL,2012,4.04115979023404,1.30887039543096,14.817107601428267,13.4,-1.2127615317995,2379.66627041272
109,POL,2012,15.996909828188167,4.01851861251007,8.60239735690898,2.5,1.82998358500473,13380.9866049611
110,PRT,2012,9.324606202603078,4.03784778633227,2.6056427795376003,2.5,1.55047857301072,21337.2861303231
111,ROU,2012,9.903857081030406,2.5267196391108,7.4842113362813505,2.5,1.08386287495159,8621.87296118849
112,RUS,2012,27.4752515684442,4.48494555113642,5.61241840799033,2.5,-1.15626154787927,11553.5764196495
113,RWA,2012,9.680595189113106,3.5395426437529096,14.89093892615416,22.2,0.0076053710190026,680.538100467947
114,VCT,2012,6.180550927506767,3.05820136373357,6.40896959119883,5.3,1.67559773120137,6342.46536797172
115,WSM,2012,13.694605703825442,1.64143991939489,15.25598702083939,2.6,2.58246148516757,3504.12454225867
116,STP,2012,2.392817845078512,0.87176090694398,16.26412120624748,14.2,3.52933536800455,1123.9860072743
117,SAU,2012,4.670859214803572,0.85172640360974,15.26382162857144,5.5,-0.506302380933867,21006.8426032113
118,SEN,2012,12.158454983560938,0.78140338450785,14.23420886121095,9.2,0.413586312166764,1267.74699610972
119,SRB,2012,14.30307641546185,2.53605113092019,12.07755518997804,2.7,1.43958224419907,5886.89461767324
120,SLE,2012,10.296173333053035,0.8304161791524999,15.28856990170244,34.6,0.677123927839211,470.301054308203
121,SVK,2012,11.43998226985739,3.08794483296574,7.22955781081959,3.5,2.01898098356257,17502.0642069709
122,SVN,2012,15.75780380326582,3.41011186605642,4.9739928609511,2.5,3.26146050896363,22989.9297131691
123,SLB,2012,25.77959813163564,1.37871958615642,22.81138324419941,11.7,3.97032180090899,1663.97021272438
124,ZAF,2012,14.40625368001027,3.16364607925622,6.732883484338931,3.8,-0.570691023915515,7500.23214267026
125,KOR,2012,24.64455825553201,4.021531139365099,6.422691976431059,2.5,1.75664297401797,24197.9413704675
126,ESP,2012,5.901969467991411,3.3282330780537204,3.1815513093584604,2.5,1.82733811764198,29235.8286869685
127,LKA,2012,19.62563448245546,1.4901805664747,11.83900970335307,8.9,-1.15001546074446,3286.0075942939
128,SDN,2012,6.31977785183218,0.7197175002566101,16.864776049044462,19.9,-1.74959155873337,1825.57805916639
129,SUR,2012,24.20852109792458,2.38017322069499,7.71227825014773,8.3,1.47883493247486,8772.92880378442
130,SWE,2012,11.915672234619722,3.6223447395722697,1.36886339479301,2.5,2.88204119772129,53432.6448453224
131,CHE,2012,10.8915599541751,4.18219528939067,3.2303123267799,2.5,2.40318253433551,77844.1877874538
132,TZA,2012,10.331677640549964,1.8147592782808304,12.97149309118273,29.1,0.25533086451937,788.429901780367
133,THA,2012,8.622560986200531,2.00633218980282,9.18827886965415,9.4,-0.765141854829823,5437.87672887032
134,TLS,2012,5.327890811211018,1.23859312585362,17.34681852927324,31.1,1.14745720863553,873.078966166126
135,TGO,2012,12.800158420105248,0.77890737161483,14.2366720890182,22.3,0.705758459950487,573.923988738926
136,TTO,2012,9.820116890293368,2.42904360372591,6.81896866774606,7.2,0.954589856954269,16636.7209437698
137,TUN,2012,3.5082956784225496,0.8383670055482999,11.34807278508641,3.2,0.26117914095834,4146.09580085071
138,TUR,2012,2.8367464077943665,0.84507697451871,10.41972187934345,2.5,-0.608028966288073,12128.2962831199
139,TKM,2012,8.912114788314723,3.4312244841540696,11.23574724650724,5.1,-0.19486520000763,5462.91106767891
140,UKR,2012,18.73519388143995,3.39691001795626,7.92127012958784,2.5,-0.303336149430915,3153.7354536996
141,ARE,2012,5.666374677459196,1.35574370711564,13.13129670067168,4.5,0.95423789298133,35416.8840359827
142,GBR,2012,7.079234496101639,5.32366897304702,3.03645282391331,2.5,2.38867092032,40018.49081534
143,USA,2012,11.883801014501216,5.57147604928739,2.65637558753468,2.5,0.396159035932195,49595.8777235423
144,URY,2012,17.386614808873162,3.10139354007421,2.59278898856741,2.5,2.78058297898138,12981.1362695489
145,UZB,2012,11.193314998414412,2.42600103048005,14.978034980834687,8.7,-0.27113974652816,1814.46719583905
146,VUT,2012,20.070309355641964,1.3592097008902,19.09297333061865,6.0,2.21545474087591,2800.53033140393
147,VEN,2012,7.694245726894135,2.06170345018114,6.9112813987143005,3.3,-0.669714755301181,14735.9075572168
148,VNM,2012,8.05419671123982,1.79518163487492,13.82256398360118,10.1,-0.0783070340585661,1443.50163250552
