,Code,Year,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate),Prevalence - Substance use disorders - Sex: Both - Age: Age-standardized (Percent),$1.90 per day - share of population below poverty line,Deaths - Cause: All causes - Risk: Air pollution - Sex: Both - Age: Age-standardized (Percent),Prevalence of undernourishment (% of population),"Primary completion rate, total (% of relevant age group)",Human rights protection,GDP per capita (constant 2010 US$)
21,CYP,2012,4.181403957453776,2.35789869875408,0.0042377989999999,6.01967390421809,6.3,100.064140319824,1.53944757887404,28873.621277345
22,CZE,2012,12.658319064578771,3.65954851873688,0.03220716,6.66074046413959,2.5,100.990440368652,3.08733665283333,20082.2511927375
23,DNK,2012,9.12516339077827,4.18925314842557,0.0,3.5107912148341303,2.5,98.2584915161133,3.12201053604714,58487.7935424732
24,DOM,2012,6.817260401383258,1.95876217628193,2.598818,6.883355119498489,9.8,93.521369934082,-0.399938737798679,5745.41985159703
25,ECU,2012,10.147939396501489,1.817038145379969,4.494096,5.55639344462286,17.6,108.207130432129,0.570247839388461,5122.18108325797
26,SLV,2012,7.596363410828795,4.0723009667166,4.219873000000001,7.252641585876731,10.6,103.404113769531,0.408141388346168,3156.62337844465
27,EST,2012,14.722577674721956,3.617761843274861,0.7154801,2.23622938384944,2.5,103.817939758301,2.66571919617881,16485.0450426469
28,SWZ,2012,28.27958342220201,2.98503202071765,32.7706,8.24898971494022,8.1,84.6974716186523,0.0683263607271019,4431.83606516964
29,ETH,2012,11.822474016994494,2.89889236529493,34.32967,15.056578190154,29.9,50.3079681396484,-1.80014117501542,389.938920464021
30,FJI,2012,10.01500597935768,1.29537680216391,0.9005696000000001,9.449497080223871,3.5,106.260528564453,1.22647481395932,3781.20202575104
31,FIN,2012,14.754230858590734,3.50590680912624,0.05272516,1.23810534980125,2.5,100.030967712402,2.98636672269211,46538.5482393103
32,GMB,2012,8.806399015619355,0.8436761841532201,22.4689,15.02389457161963,13.2,65.6831130981445,-0.0898583042375936,783.262992377178
33,GEO,2012,6.531322415678026,2.6732147153754,8.464172,10.76408812127884,4.3,101.436813354492,0.577975684199243,3751.00347121289
34,DEU,2012,9.606225663843151,3.22294247513472,0.0,4.06188403228195,2.5,98.6531372070313,3.01692197937606,44070.9085651782
35,GHA,2012,10.701052126805422,1.01934082726935,12.16925,13.37501926022163,7.3,93.8643264770508,0.352221921614072,1543.76368731207
36,GRC,2012,3.598069279575393,2.4457953516465,1.469778,6.54037335431091,2.5,96.9841232299805,1.06800140967842,22437.2204706296
37,GTM,2012,6.104574453565595,3.94651876954776,9.813117,11.71174764023092,18.0,84.7521209716797,0.495934068366364,2951.61147194396
38,GUY,2012,37.70294663533405,2.65813375523468,7.592472,7.92494915058099,6.0,97.3759384155273,1.04829100157906,5044.87384047201
39,HND,2012,3.488285115514686,2.86996328452814,20.06374,11.84180838051288,20.8,86.8210678100586,-0.0807883835481605,1982.00950846405
