,Code,Year,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate),Prevalence - Substance use disorders - Sex: Both - Age: Age-standardized (Percent),$1.90 per day - share of population below poverty line,Deaths - Cause: All causes - Risk: Air pollution - Sex: Both - Age: Age-standardized (Percent),Human rights protection,GDP per capita (constant 2010 US$)
0,ALB,2012,5.062668912263671,2.18667332275098,0.8497543999999999,10.98630651599224,1.03964220322529,4276.60790388367
1,DZA,2012,3.836444723955614,0.88318283881822,0.4155152,10.57561973127988,0.487922697068312,4588.13355679286
2,AGO,2012,13.323193792518827,1.42778182932132,36.78134,11.281519754451107,-0.405432727707392,3748.45155037137
3,ARM,2012,8.620360914862143,2.59151763740343,0.9169955,12.15162997998707,0.192295316369626,3603.5833540796
4,AUS,2012,10.739709494210535,4.22112254676807,0.4238260999999999,1.16092089163955,2.2470338491115,53682.0321439532
5,AUT,2012,12.269534889433755,4.050788357369,0.6169174000000001,4.0956842641276,2.2864888197376,48172.2381151452
6,AZE,2012,4.084753695599346,3.0430230314441298,0.0,11.26819696419506,-0.181520626899757,5725.63412853394
7,BGD,2012,5.162747528898822,1.45791205208239,17.24059,21.32936738069952,-1.05388456307147,865.761935715465
8,BLR,2012,23.443464691657088,3.72595017401388,0.0,8.75178289000388,0.225500043408912,6478.70481089972
9,BEL,2012,16.650814753079732,3.5674047115335603,0.1565715,4.25433052144173,2.73591500181736,44361.2100930567
10,BLZ,2012,7.188527621645472,2.57965055639544,13.66115,6.95824318007945,1.16756003351601,4253.08766044306
11,BEN,2012,11.910356572384948,0.86996559584309,52.531290000000006,15.53839224713546,0.975622828618603,1057.66716880358
12,BTN,2012,6.110874403518957,2.91666139601005,2.184338,16.96064549670272,1.34802606320637,2504.50946084972
13,BOL,2012,7.247490310336214,1.88600675869255,8.16095,9.70540992201297,1.00974450110635,2094.02394900401
14,BIH,2012,8.51210882131618,2.44279114717373,0.05898651,13.93621156451874,1.37859773140464,4770.93162912533
15,BWA,2012,21.902835459849552,2.5728335694428903,15.54525,9.25908929221583,1.83616709759672,6944.80914927972
16,BRA,2012,6.05163686635801,4.19831069782838,3.731201,5.18580326925562,-1.08557372392024,11745.7761620453
17,BGR,2012,10.680574564872472,2.56141922606508,2.200165,9.54476962668217,1.37528437487215,7083.59878715875
18,BFA,2012,12.67789822827806,0.7881535596278599,47.93311,14.16468918241802,0.516741858556956,692.444787200338
19,BDI,2012,13.430495901809127,1.73519439135243,74.47351,15.49121190075522,-0.91934817662776,238.815936040566
20,CMR,2012,14.946020108871098,0.99502804988301,30.243170000000006,12.558246231568932,-0.114668776702482,1325.93016371596
21,CAN,2012,11.195424927728254,4.45911877206991,0.2465213999999999,1.73402483974313,2.69393668897884,48903.2227998102
22,CPV,2012,16.684470917151167,1.0195640354400202,4.816529,11.3948560875368,1.73265087015468,3461.88553912386
23,CAF,2012,20.666466111953795,1.45537452880869,57.92128,13.18063779604266,-1.65328387528972,528.645444387725
24,TCD,2012,14.396329837582542,0.75840242941167,35.733470000000004,16.08284564118583,-0.464661988483445,909.31248602036
25,CHL,2012,10.52737911378497,3.9368635212098,0.465755,5.59133101035602,1.13849781189573,14035.669451247
26,CHN,2012,8.458367882155256,1.75538603174797,6.496900999999999,19.01596519852003,-1.21621555146636,5325.35841728771
27,COL,2012,5.73621226290078,3.00394712382923,6.247937,7.375498254363371,-1.0127915845359,6911.76119085696
28,COM,2012,6.727946599732828,1.59294045585015,18.59402,13.562419589268378,1.96729996162597,1347.56286409961
29,COG,2012,13.039054003302716,1.55404776312508,36.60079,11.63938689248069,0.258582599872018,3272.75731940926
30,CRI,2012,7.061698946715198,2.52378761699269,1.691766,4.73718699457381,1.49480027114635,8796.16797499092
31,CIV,2012,14.84183448719269,0.86519384600515,35.49305,13.59299662069022,-1.12272354514068,1223.6319350233
32,HRV,2012,12.659281992628149,3.1574891583906,0.8355705,7.1805887521992,2.65802604456371,13677.4207155701
33,CYP,2012,4.181403957453776,2.35789869875408,0.0042377989999999,6.01967390421809,1.53944757887404,28873.621277345
34,CZE,2012,12.658319064578771,3.65954851873688,0.03220716,6.66074046413959,3.08733665283333,20082.2511927375
35,COD,2012,12.50540801574158,1.32417808977611,79.3107,15.5280891099143,-1.83892330237255,357.598285530464
36,DNK,2012,9.12516339077827,4.18925314842557,0.0,3.5107912148341303,3.12201053604714,58487.7935424732
37,DOM,2012,6.817260401383258,1.95876217628193,2.598818,6.883355119498489,-0.399938737798679,5745.41985159703
38,ECU,2012,10.147939396501489,1.817038145379969,4.494096,5.55639344462286,0.570247839388461,5122.18108325797
39,EGY,2012,3.678187051235324,0.70433119918899,1.619734,16.122437017519438,-1.01399629154097,2635.99771845868
40,SLV,2012,7.596363410828795,4.0723009667166,4.219873000000001,7.252641585876731,0.408141388346168,3156.62337844465
41,EST,2012,14.722577674721956,3.617761843274861,0.7154801,2.23622938384944,2.66571919617881,16485.0450426469
42,SWZ,2012,28.27958342220201,2.98503202071765,32.7706,8.24898971494022,0.0683263607271019,4431.83606516964
43,ETH,2012,11.822474016994494,2.89889236529493,34.32967,15.056578190154,-1.80014117501542,389.938920464021
44,FJI,2012,10.01500597935768,1.29537680216391,0.9005696000000001,9.449497080223871,1.22647481395932,3781.20202575104
45,FIN,2012,14.754230858590734,3.50590680912624,0.05272516,1.23810534980125,2.98636672269211,46538.5482393103
46,FRA,2012,14.405705321737308,3.46476798009598,0.0535000199999999,3.22165813349162,1.90978869454945,41258.2715887455
